,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
37,"En un continente lejano, donde el sol brilla con esplendor, En Sarckomus, una ciudad repleta de vitalidad, donde se localiza la ACADEMIA, una organización que se fundamenta en formar muchachos jóvenes, para ingresar al sistema de elección de gremios, y así recorrer el camino de un mercenario, en busca de aventuras, dinero y fama..",Kodomo,MANGA,Unlimited World ( 2037 ),"Acción, Aventura, Comedia, Demonios, Fantasia, Ciencia Ficción, Superpoderes",0.00,CANCELADO,https://otakuteca.com/images/books/cover/5b2dbf6941ce7.jpg,13,57,116,3,1,10,223a7b88-5721-4043-858d-17a968aec334
38,Vida cotidiana de una pareja,Kodomo,MANGA,Magic Patch ( 2016 ),"Género Bender, Romance, Comedia",8.37,FINALIZADO,https://otakuteca.com/images/books/cover/22899_TMOManga588fa09d0eb32.jpg,372,72,138,23,9,2,21738e24-0454-4161-93e9-fd6bffee7a29
39,One-shot anthologies de manga con trampas. Cada volumen lleva un subtítulo.,Kodomo,MANGA,Josou Shounen Anthology Comic ( 2010 ),"Comedia, Género Bender, Ecchi, Romance, Vida Escolar, Recuentos de la vida",7.89,FINALIZADO,https://otakuteca.com/images/books/cover/29913_TMOManga599a6316e55a9.jpg,142,117,157,13,14,10,f8e3a448-2a91-45d7-b8ec-e099f4d6c70b
40,"Dos pequeños niños de una isla, sueñan con ver el exterior.",Kodomo,MANGA,Island ( 2016 ),"Aventura, Comedia, Drama, Fantasia",8.06,FINALIZADO,https://otakuteca.com/images/books/cover/14144_TMOmanga215123.jpg,104,76,63,11,6,6,edd01a0c-b738-40b6-b31d-1e539e9cd4ca
41,La serie 4Koma para Uma Musume: Pretty Derby!,Kodomo,MANGA,UmaYon - Mini Comics ( 2019 ),"Comedia, Vida Escolar, Recuentos de la vida, Deporte",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f46c04643c8b.jpg,5,47,58,21,8,0,bd8a1a62-954c-4d34-b460-e5df6eb8c5fc
42,"""Twitter"" es un servicio web que es extremadamente popular en todo el mundo que ahora publica y comparte oraciones cortas con 140 caracteres o menos. Y este es un rumor ... parece que hay una interfaz humanoide para observar a los usuarios y desarrollar funciones para mejorar más los contenidos del servicio. Esta chica se llama ""Twitter-san"".",Kodomo,MANGA,Twitter-san ( 2016 ),"Comedia, Romance, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5d37be7c4abda.jpg,11,58,127,15,9,3,be0356fe-f1bc-4541-8a28-b1deee323f62
43,Una historia corta sobre una chica que es nueva en ser un fantasma.,Kodomo,MANGA,La nueva fantasma ( 2019 ),"Comedia, Romance",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5cb66c142ce66.jpg,43,28,58,14,12,2,1b7935d2-db6f-4ddf-ac68-0be7b97800e0
44,Spinn-off de hanebado publicado en su cuenta official de twiiter,Kodomo,MANGA,はねバド！ぼっち ( 2037 ),"Comedia, Vida Escolar, Deporte",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b70850b46741.jpg,6,62,92,14,6,3,149e6cbd-bdff-4658-aa9a-517ead0462d6
45,"Los Bladebreakers están de regreso con una nueva historia, una nueva historia creada por Takao Aoki, mismos personajes, nuevos Beyblades, una nueva aventura",Kodomo,MANGA,Beyblade Rising ( 2016 ),"Acción, Aventura, Comedia, Deporte",8.44,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/27294_TMOManga5934bb28ca818.jpg,32,60,74,9,4,0,fbc66913-bcb5-4f06-962d-be85995252ef
46,"Axel es un chico el cual ha tenido una vida dura, tras diversos acontecimientos aprendió las diversas artes místicas y ahora se propone graduarse en el instituto ""Tria Eyes"". Pero su destino le aguarda otra cosa.",Kodomo,MANGA,Rebus ( 2037 ),"Acción, Fantasia, Gore, Magia, Artes Marciales, Ciencia Ficción, Sobrenatural",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b6d9a5dc2fe5.jpg,5,76,108,4,4,11,424f1f3a-48fa-4233-b7e0-b9013ecf9dd4
47,"Una historia realmente corta sobre una princesa (mokona). Publicado en 2 versiones, un formato de libro 3d y un manga regular.",Kodomo,MANGA,Mokona Oujo no Ehon ( 1994 ),"Aventura, Comedia, Fantasia",7.57,FINALIZADO,https://otakuteca.com/images/books/cover/30476_TMOManga59ac3b5a8f4e3.jpg,79,117,31,10,4,0,402293f2-29e8-4f14-817b-152b6f4d6473
48,Es una manga amateur. Cuenta la vida de un par de gemelos con cuernos.,Kodomo,MANGA,"""Los Gemelos Cuerno"" ( 2020 )","Comedia, Familia, Fantasia, Niños, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e49ee9ce6b31.jpg,6,47,53,8,5,1,2f840efe-0220-4f6f-8d9b-733c281ce73d
49,"En la historia, una chica de nombre Mai, se aparece ante un chico que detesta la Navidad, debido a que nació un 24 de diciembre y por tal motivo fue llamado Santa, junto que no ha tenido nunca una fiesta de cumpleaños. Por esto, Mai decide ayudarlo, con los poderes de Santa Claus.",Kodomo,MANGA,Itsudatte My Santa ( 1998 ),"Comedia, Magia, Romance",8.13,FINALIZADO,https://otakuteca.com/images/books/cover/13846_TMOmanga143428.jpg,217,121,88,5,7,3,12a3b441-7d56-48cb-9804-377aad53d322
50,"Basado en un anime Universal Century 0079.03.18 - El Principado de Zeon lleva a cabo su tercera operación de caída. La cuarta división móvil terrestre baja a la Tierra. El suboficial principal Cuaran llega a la Tierra como parte de la 908ª compañía de reconocimiento móvil. Más tarde sería el hombre que intentó destruir el ""mobile suit blanco"" de la Federación, el temido ""Gundam"".",Shounen,MANGA,Mobile Suit Gundam U.C. Hardgraph: Iron Mustang ( 2011 ),"Acción, Mecha, Militar",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5bb059b9d7eb2.jpg,6,49,86,16,1,3,280f5105-70d1-45c9-bbfd-2ad6b4139655
51,La vida diaria de una floja Angel llamada Ange y sus amigos.,Kodomo,MANGA,Biotop ( 2011 ),"Comedia, Fantasia, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5c7f49d48a223.jpg,7,33,75,5,2,2,ccd1c355-3dc2-42b3-8acc-c73ccf596df9
52,"El fenómeno paranormal conocido como “Ruina magna” dio lugar al nacimiento de seres llamados “Brujas” (Humanos convertidos en demonios) este genero una gran destrucción a nivel mundial. Por ello se creo la academia anti-brujas Noah, donde se entrenan cazadores de brujas (Asterisk) para la inquisición mediante el uso de energía espiritual y armas de invocación, pero hay alguien tachado de inútil, Kogami Ren quien no posee un gran poder espiritual y es incapaz de invocar su arma espiritual “Shinobu” en todo su poder lo cual provoca que sea discriminado entre sus compañeros.Sin embargo todo cambia cuando conoce Lucia y su destino y pasados conecten en este mundo. Asterisk World.",Kodomo,MANGA,Asterisk World. ( 2018 ),"Acción, Comedia, Fantasia, Harem, Romance, Vida Escolar, Superpoderes",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b7a0f521db49.jpg,5,43,64,5,5,3,7f52d5bf-48b8-4f80-8e98-579709e133fe
53,"Basado en un anime. Universal Century 0093. ""Char Contraataca"" dibujado desde la perspectiva de Nanai Miguel. ¿Qué recuerdos desagradables tiene Nanai?",Shounen,MANGA,Mobile Suit Gundam Char Contraataca -Más allá del tiempo- ( 2010 ),"Acción, Drama, Mecha, Romance, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5bab3eaf50b40.jpg,12,34,47,11,6,0,a20e4b42-dcbe-4822-8b86-b366a171d87a
54,"Doraemon es un gato robot del siglo XXII que es enviado atrás en el tiempo por un joven llamado Sewashi Nobi para mejorar las circunstancias de su tatarabuelo, Nobita, y así sus descendientes puedan disfrutar de un futuro mejor.",Kodomo,MANGA,Doraemon,"Aventura, Drama, Ciencia Ficción",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/30339_TMOManga59a452fba48c8.jpg,48,131,100,34,19,9,4798e11c-9dc1-45f0-8799-07c9caceec4e
55,"Súbitamente un día, ¡robots que eran manipulados por un malvado científico comenzaron a salirse de control! Para salvarnos de la crisis, el robot de la justicia, ¡Rockman apareció!",Kodomo,MANGA,Rockman World ( 1991 - 1992 ),"Acción, Ciencia Ficción, Mecha",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f78f0b08f234.jpg,9,35,29,9,3,2,08ba70ee-925a-47ef-82a7-dc738f14f339
56,"Rockman X, es un Irregular Hunter de rango ""B"", y cumple su trabajo con el sueño de ascender al rango ""A"". Sin embargo, un día, varios Hunter de rango ""SA"" se rebelan contra la humanidad. Ahora X, junto a su amigos Zero, A-1 y VAVA, y su líder, Sigma, deben buscar la forma de resolver este incidente.",Kodomo,MANGA,Irregular Hunter Rockman X ( 1994 - 1995 ),"Acción, Drama, Mecha, Ciencia Ficción",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f85c86c7bfee.jpg,16,29,36,13,0,1,f38810d4-39e6-4034-a0e6-6e71d8fca64f
57,"El artista Takenashi Eri miembro de Type-Moon ha creado muchas historias con la mayoría de los proyectos del grupo; ""Tsukihime"" & ""Kagetsu Tohya"", ""MELTY BLOOD"", ""Fate/stay night"". Aquí encontrarás a tus personajes favoritos en diferentes situaciones hilarantes.",Kodomo,MANGA,Take Moon ( 2004 ),"Aventura, Comedia, Recuentos de la vida, Sobrenatural, Romance, Vida Escolar",7.38,FINALIZADO,https://otakuteca.com/images/books/cover/7241_TMOmanga.jpg,70,130,83,9,1,3,27678105-2113-44da-bcb7-f0067d2a2e91
58,"La historia nos relata la historia de Rinko Shirayuki, una estudiante de secundaria de 14 años de edad, la cual, vive apuntando en sus diarios todo lo que hace Tasuku Tsuji, uno de sus compañeros de clase, que resulta ser un sanguinario asesino. Ella se considera su acosadora y hará todo lo que esté a su alcance por su bienestar.",Josei,MANGA,Shishunki no Futari ( 2016 ),"Comedia, Romance",8.63,FINALIZADO,https://otakuteca.com/images/books/cover/10188_TMOmanga071657.jpg,159,322,333,21,9,25,618bbdbf-0e83-42c0-85a4-85173f61f420
59,"Esta historia nos situar en una pareja, que se conocieron en circunstancias extrañas, ella es una “exterminadora” la cual se dedica a luchar contra los espíritus bajo el mando de la organización Miyashiro, el un Joven ordinario, pero que lucha por mantener una relación con ella.",Shounen,MANGA,Koibana Kiseki ( 2010 ),"Acción, Comedia, Sobrenatural, Romance, Vida Escolar",8.38,FINALIZADO,https://otakuteca.com/images/books/cover/9513_TMOmanga163826.jpg,271,498,496,25,18,23,cb26ce79-7b3f-4490-a9e0-733f140874cc
60,"Se celebra el Primer Torneo Mundial de Robots para buscar al robot más fuerte del mundo, con el propósito de que se convierta en el defensor del mundo para futuros ataques del Dr. Wily. Rockman no deseaba participar, pero un misterioso robot aparece para invitarlo a la competencia. Sin embargo, el organizador del torneo, Mister X, resulta ser un villano que planeaba la conquista del mundo.",Kodomo,MANGA,Rockman 6 ( 1993 - 1994 ),"Acción, Mecha, Ciencia Ficción",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f80a45a00514.jpg,5,19,11,2,1,1,e174e17f-7525-436f-b8cb-87c5c20c30d9
61,Información no completada,Kodomo,MANGA,Armageddon ( 2018 ),"Acción, Apocalíptico, Comedia, Horror, Romance, Sobrenatural",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5bb41147b8aa2.jpg,5,15,21,1,0,1,0a33e182-79e7-434f-976d-a18af2a78e25
62,"Durante un breve período de paz, en la ciudad surgen incidentes donde robots se salen de control. Rockman va a querer llegar al fondo del asunto, pero se encuentra con una situación extraña: ¡El Dr. Wily es su nuevo aliado! ¡Y su amigo Blues ahora es su enemigo!",Kodomo,MANGA,Rockman: Resurrección Blues ( 1994 - 1994 ),"Acción, Mecha, Ciencia Ficción",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f84b920c004b.jpg,6,22,19,4,2,1,10d50d2c-2d35-48ed-a4f7-f549e2767efe
63,"Historias de tales of link , con gran catidad de personajes",Kodomo,MANGA,Tales of comic ( 2018 ),"Aventura, Comedia, Fantasia, Parodia, Romance, Magia, Recuentos de la vida, Sobrenatural",7.75,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/39406_TMOManga5b0b294456373.jpg,10,25,36,3,3,2,3c00a898-c096-44ca-b61c-68813028035b
64,Arashi Ishino es el campeón de Japón en el Space Invaders que usa sus extraordinarias habilidades para vencer a sus contrincantes en diferentes duelos de videojuegos arcade.,Kodomo,MANGA,Game Center Arashi ( 1979 ),"Acción, Niños, Deporte",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5fa45e9cb9046.jpg,1,23,18,4,3,1,66197bc2-86a6-448a-bda3-c12a11402675
65,"Karugasaki Tora decidió repetir grado y convertirse en un delincuente solo para ser popular, por un consejo de un amigo. Sin embargo, su plan fracasó y nadie habla con él en su nuevo salón de clases. Lo único que puede disfrutar es ver a la linda chica sentada a su lado, pero después de intentar hablar con ella inmediatamente le da una patada y lo arroja por la ventana.La chica esconde un gran secreto ya que ella es un fantasma metida en un juego de Shinigami, un juego en el que los sentimientos de las personas cuenta mucho, ya que de ello depende que ellos no vayan al infierno",Shounen,MANGA,Ushiro no Shindere-san ( 2010 ),"Comedia, Romance, Vida Escolar, Sobrenatural",8.66,CANCELADO,https://otakuteca.com/images/books/cover/18274_TMOManga579ae4d229e17.jpg,131,205,346,9,1,10,47161cc6-db33-4555-abac-f1d79ea9ed7f
66,"En el año 200X, Rock se convirtió en el robot de batalla Rockman para detener las ambiciones del Dr. Wily. Ahora, el Dr. Wily ha regresado para conquistar el mundo con 8 robots de batalla que él mismo construyó.",Kodomo,MANGA,Rockman: El Plan del Dr. Wily ( 1993 - 1994 ),"Acción, Mecha, Ciencia Ficción",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f847809ca593.jpg,5,22,14,2,3,2,296bda23-c2d9-4962-a3bd-cc4025599250
67,"La madre de Melmo murió en un accidente de tráfico, dejando a la joven de 10 años sola al cuidado de sus hermanitos. Ansiosa, la madre de Melmo le pide a Dios que prepare algunos dulces mágicos y que se los de a Melmo. Los caramelos azules permiten a Melmo crecer hasta los 19 años, y los rojos le permiten volver a sus 9 años. Usando estos caramelos milagrosos, Melmo se disfraza como enfermera, maestro, policía, para superar apuros que le permitan cuidar a sus hermanos.",Kodomo,MANGA,Maravillosa Melmo ( 1970 ),"Drama, Sobrenatural, Magia, Superpoderes",8.14,FINALIZADO,https://otakuteca.com/images/books/cover/31157_TMOManga59cc5ca0e6e6e.jpg,28,55,22,11,3,3,cdb7d975-6412-408b-b8e9-1b8dac12eb5a
68,basado en el popular juego de PSX. la historia del manga de Crash se presenta cuando es engañado por Cortex para recolectar los cristales de poder para apoderarse del mundo. ¿Lograra Cortex su objetivo? ¿Que clase de aventuras frenéticas tendrá Crash?,Kodomo,MANGA,Crash Bandicoot Dansu! De jump! Na Daibouken ( 1998 ),"Aventura, Comedia, Fantasia, Recuentos de la vida, Superpoderes, Thriller, Romance, Acción",6.00,FINALIZADO,https://otakuteca.com/images/books/cover/21005_TMOManga582b70a7a4a24.jpg,49,50,59,3,5,4,2a183930-080c-40da-b313-6a5cd7af4a41
69,"Han pasado 2 meses desde los eventos de ""Rockman 4"", y Rockman aún tiene dudas sobre Blues, ¿será amigo o enemigo? Cierto día, el Dr. Cossack lo llama para a su laboratorio para entregarle un presente, el robot pájaro Beat, pero en su ausencia, la ciudad es atacada por unos misteriosos robots y en la confusión el Dr. Right ha sido secuestrado. Todo apunta a que el responsable de estos crímenes es Blues.",Kodomo,MANGA,Rockman 5 ( 1992 - 1993 ),"Acción, Mecha, Ciencia Ficción",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f7f715a434a7.jpg,4,10,5,1,1,0,68a9a3ec-cda4-42e0-9997-68934ee0818b
70,"Rockman, Roll y el Dr. Right disfrutaban de un día de campo, pero el Dr. Wily planeaba la conquista del mundo. Rockman va a detenerlo descubriendo que los jefes de ""Rockman 3"" y ""Rockman 4"" han sido restaurados.",Kodomo,MANGA,Rockman World 3 ( 1993 - 1993 ),"Acción, Mecha, Ciencia Ficción",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f808380d74c9.jpg,4,11,4,1,1,1,4761d7b2-c7d8-49b3-8005-22478e0217c1
71,"Tras haber vencido al Dr. Wily por tercera vez, Rockman vive un pequeño período de paz hasta que recibe el desafío de un misterioso científico, el Dr. Cossack, quien planea la conquista mundial con sus 8 robots.",Kodomo,MANGA,Rockman 4 ( 1992 - 1992 ),"Acción, Ciencia Ficción, Mecha",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f7a4bbab49ef.jpg,7,11,4,0,1,0,99996c94-737e-4757-88aa-95fe26f68d5a
72,"Al final de ""Rockman 6"", Rockman envió al Dr. Wily a la cárcel y el mundo parecía estar en paz. Sin embargo, Wily anticipando su encierro, programó 4 robots para que lo liberarán si él llegaba a ser encarcelado. Ahora libre, planea de nuevo conquistar el mundo. Rockman nuevamente entra en acción para detenerlo pero ahora tiene un nuevo compañero, un misterioso robot llamado Forte.",Kodomo,MANGA,Rockman 7 ( 1995 - 1996 ),"Acción, Mecha, Ciencia Ficción",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f8724e15f46b.jpg,6,23,16,5,4,1,f59a2403-a711-4bcf-9d9a-7e9739079b3b
73,"En el año 200X, un malvado genio científico, el Dr. Wily, reprogramó a los 6 robots industriales del Dr. Right. Para detener esta amenaza, Rock, un robot doméstico, se convertirá en el robot de batalla, Rockman.",Kodomo,MANGA,Rockman ( 1992 - 1992 ),"Acción, Mecha, Ciencia Ficción",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f7ddcafdba15.jpg,4,13,9,6,2,0,543870cb-c813-4077-be45-dbd80dee1399
